,Position,Track Name,Artist,Streams,URL,Date,Region
83,84,Hymn For The Weekend - Seeb Remix,Coldplay,2327,https://open.spotify.com/track/1OAiWI2oPmglaOiv9fdioU,2017-01-01,ec
185,186,The Scientist,Coldplay,1285,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle,2017-01-01,ec
195,196,Adventure Of A Lifetime,Coldplay,1236,https://open.spotify.com/track/69uxyAqqPIsUyTO8txoP2M,2017-01-01,ec
268,69,Hymn For The Weekend - Seeb Remix,Coldplay,2519,https://open.spotify.com/track/1OAiWI2oPmglaOiv9fdioU,2017-01-02,ec
301,102,The Scientist,Coldplay,1998,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle,2017-01-02,ec
350,151,Adventure Of A Lifetime,Coldplay,1455,https://open.spotify.com/track/69uxyAqqPIsUyTO8txoP2M,2017-01-02,ec
367,168,Hymn For The Weekend,Coldplay,1316,https://open.spotify.com/track/3RiPr603aXAoi4GHyXx0uy,2017-01-02,ec
469,70,Hymn For The Weekend - Seeb Remix,Coldplay,2946,https://open.spotify.com/track/1OAiWI2oPmglaOiv9fdioU,2017-01-03,ec
499,100,The Scientist,Coldplay,2151,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle,2017-01-03,ec
540,141,Hymn For The Weekend,Coldplay,1703,https://open.spotify.com/track/3RiPr603aXAoi4GHyXx0uy,2017-01-03,ec
543,144,Adventure Of A Lifetime,Coldplay,1670,https://open.spotify.com/track/69uxyAqqPIsUyTO8txoP2M,2017-01-03,ec
663,64,Hymn For The Weekend - Seeb Remix,Coldplay,3141,https://open.spotify.com/track/1OAiWI2oPmglaOiv9fdioU,2017-01-04,ec
704,105,The Scientist,Coldplay,2199,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle,2017-01-04,ec
760,161,Adventure Of A Lifetime,Coldplay,1570,https://open.spotify.com/track/69uxyAqqPIsUyTO8txoP2M,2017-01-04,ec
780,181,Hymn For The Weekend,Coldplay,1472,https://open.spotify.com/track/3RiPr603aXAoi4GHyXx0uy,2017-01-04,ec
864,65,Hymn For The Weekend - Seeb Remix,Coldplay,3078,https://open.spotify.com/track/1OAiWI2oPmglaOiv9fdioU,2017-01-05,ec
909,110,The Scientist,Coldplay,2208,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle,2017-01-05,ec
951,152,Adventure Of A Lifetime,Coldplay,1658,https://open.spotify.com/track/69uxyAqqPIsUyTO8txoP2M,2017-01-05,ec
991,192,Hymn For The Weekend,Coldplay,1449,https://open.spotify.com/track/3RiPr603aXAoi4GHyXx0uy,2017-01-05,ec
1071,72,Hymn For The Weekend - Seeb Remix,Coldplay,3035,https://open.spotify.com/track/1OAiWI2oPmglaOiv9fdioU,2017-01-06,ec
1123,124,The Scientist,Coldplay,2063,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle,2017-01-06,ec
1171,172,Adventure Of A Lifetime,Coldplay,1545,https://open.spotify.com/track/69uxyAqqPIsUyTO8txoP2M,2017-01-06,ec
1193,194,Hymn For The Weekend,Coldplay,1469,https://open.spotify.com/track/3RiPr603aXAoi4GHyXx0uy,2017-01-06,ec
1283,84,Hymn For The Weekend - Seeb Remix,Coldplay,2773,https://open.spotify.com/track/1OAiWI2oPmglaOiv9fdioU,2017-01-07,ec
1338,139,The Scientist,Coldplay,1928,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle,2017-01-07,ec
1381,182,Adventure Of A Lifetime,Coldplay,1537,https://open.spotify.com/track/69uxyAqqPIsUyTO8txoP2M,2017-01-07,ec
1482,83,Hymn For The Weekend - Seeb Remix,Coldplay,2687,https://open.spotify.com/track/1OAiWI2oPmglaOiv9fdioU,2017-01-08,ec
1520,121,The Scientist,Coldplay,2072,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle,2017-01-08,ec
1585,186,Adventure Of A Lifetime,Coldplay,1448,https://open.spotify.com/track/69uxyAqqPIsUyTO8txoP2M,2017-01-08,ec
1680,81,Hymn For The Weekend - Seeb Remix,Coldplay,2678,https://open.spotify.com/track/1OAiWI2oPmglaOiv9fdioU,2017-01-09,ec
1692,93,The Scientist,Coldplay,2484,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle,2017-01-09,ec
1760,161,Adventure Of A Lifetime,Coldplay,1546,https://open.spotify.com/track/69uxyAqqPIsUyTO8txoP2M,2017-01-09,ec
1876,77,Hymn For The Weekend - Seeb Remix,Coldplay,2783,https://open.spotify.com/track/1OAiWI2oPmglaOiv9fdioU,2017-01-10,ec
1908,109,The Scientist,Coldplay,2073,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle,2017-01-10,ec
1964,165,Adventure Of A Lifetime,Coldplay,1516,https://open.spotify.com/track/69uxyAqqPIsUyTO8txoP2M,2017-01-10,ec
2072,73,Hymn For The Weekend - Seeb Remix,Coldplay,3030,https://open.spotify.com/track/1OAiWI2oPmglaOiv9fdioU,2017-01-11,ec
2105,106,The Scientist,Coldplay,2246,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle,2017-01-11,ec
2176,177,Adventure Of A Lifetime,Coldplay,1527,https://open.spotify.com/track/69uxyAqqPIsUyTO8txoP2M,2017-01-11,ec
2276,77,Hymn For The Weekend - Seeb Remix,Coldplay,2980,https://open.spotify.com/track/1OAiWI2oPmglaOiv9fdioU,2017-01-12,ec
2305,106,The Scientist,Coldplay,2332,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle,2017-01-12,ec
2362,163,Adventure Of A Lifetime,Coldplay,1616,https://open.spotify.com/track/69uxyAqqPIsUyTO8txoP2M,2017-01-12,ec
2482,83,Hymn For The Weekend - Seeb Remix,Coldplay,2974,https://open.spotify.com/track/1OAiWI2oPmglaOiv9fdioU,2017-01-13,ec
2521,122,The Scientist,Coldplay,2191,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle,2017-01-13,ec
2574,175,Adventure Of A Lifetime,Coldplay,1599,https://open.spotify.com/track/69uxyAqqPIsUyTO8txoP2M,2017-01-13,ec
2692,93,Hymn For The Weekend - Seeb Remix,Coldplay,2817,https://open.spotify.com/track/1OAiWI2oPmglaOiv9fdioU,2017-01-14,ec
2741,142,The Scientist,Coldplay,2002,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle,2017-01-14,ec
2894,95,Hymn For The Weekend - Seeb Remix,Coldplay,2519,https://open.spotify.com/track/1OAiWI2oPmglaOiv9fdioU,2017-01-15,ec
2928,129,The Scientist,Coldplay,1932,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle,2017-01-15,ec
2987,188,Adventure Of A Lifetime,Coldplay,1387,https://open.spotify.com/track/69uxyAqqPIsUyTO8txoP2M,2017-01-15,ec
3089,90,Hymn For The Weekend - Seeb Remix,Coldplay,2612,https://open.spotify.com/track/1OAiWI2oPmglaOiv9fdioU,2017-01-16,ec
3102,103,The Scientist,Coldplay,2293,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle,2017-01-16,ec
3175,176,Adventure Of A Lifetime,Coldplay,1504,https://open.spotify.com/track/69uxyAqqPIsUyTO8txoP2M,2017-01-16,ec
3286,87,Hymn For The Weekend - Seeb Remix,Coldplay,2812,https://open.spotify.com/track/1OAiWI2oPmglaOiv9fdioU,2017-01-17,ec
3323,124,The Scientist,Coldplay,2018,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle,2017-01-17,ec
3367,168,Adventure Of A Lifetime,Coldplay,1578,https://open.spotify.com/track/69uxyAqqPIsUyTO8txoP2M,2017-01-17,ec
3482,83,Hymn For The Weekend - Seeb Remix,Coldplay,2852,https://open.spotify.com/track/1OAiWI2oPmglaOiv9fdioU,2017-01-18,ec
3518,119,The Scientist,Coldplay,2080,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle,2017-01-18,ec
3588,189,Adventure Of A Lifetime,Coldplay,1489,https://open.spotify.com/track/69uxyAqqPIsUyTO8txoP2M,2017-01-18,ec
3680,81,Hymn For The Weekend - Seeb Remix,Coldplay,2907,https://open.spotify.com/track/1OAiWI2oPmglaOiv9fdioU,2017-01-19,ec
3721,122,The Scientist,Coldplay,2132,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle,2017-01-19,ec
3797,198,Adventure Of A Lifetime,Coldplay,1461,https://open.spotify.com/track/69uxyAqqPIsUyTO8txoP2M,2017-01-19,ec
3888,89,Hymn For The Weekend - Seeb Remix,Coldplay,2730,https://open.spotify.com/track/1OAiWI2oPmglaOiv9fdioU,2017-01-20,ec
3931,132,The Scientist,Coldplay,2039,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle,2017-01-20,ec
3994,195,Adventure Of A Lifetime,Coldplay,1506,https://open.spotify.com/track/69uxyAqqPIsUyTO8txoP2M,2017-01-20,ec
4095,96,Hymn For The Weekend - Seeb Remix,Coldplay,2573,https://open.spotify.com/track/1OAiWI2oPmglaOiv9fdioU,2017-01-21,ec
4157,158,The Scientist,Coldplay,1750,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle,2017-01-21,ec
4290,91,Hymn For The Weekend - Seeb Remix,Coldplay,2638,https://open.spotify.com/track/1OAiWI2oPmglaOiv9fdioU,2017-01-22,ec
4346,147,The Scientist,Coldplay,1823,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle,2017-01-22,ec
4495,96,Hymn For The Weekend - Seeb Remix,Coldplay,2503,https://open.spotify.com/track/1OAiWI2oPmglaOiv9fdioU,2017-01-23,ec
4515,116,The Scientist,Coldplay,2067,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle,2017-01-23,ec
4674,75,Hymn For The Weekend - Seeb Remix,Coldplay,3030,https://open.spotify.com/track/1OAiWI2oPmglaOiv9fdioU,2017-01-24,ec
4735,136,The Scientist,Coldplay,1927,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle,2017-01-24,ec
4795,196,Adventure Of A Lifetime,Coldplay,1461,https://open.spotify.com/track/69uxyAqqPIsUyTO8txoP2M,2017-01-24,ec
4866,67,Hymn For The Weekend - Seeb Remix,Coldplay,3234,https://open.spotify.com/track/1OAiWI2oPmglaOiv9fdioU,2017-01-25,ec
4930,131,The Scientist,Coldplay,1988,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle,2017-01-25,ec
5070,71,Hymn For The Weekend - Seeb Remix,Coldplay,3036,https://open.spotify.com/track/1OAiWI2oPmglaOiv9fdioU,2017-01-26,ec
5129,130,The Scientist,Coldplay,1957,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle,2017-01-26,ec
5279,80,Hymn For The Weekend - Seeb Remix,Coldplay,2925,https://open.spotify.com/track/1OAiWI2oPmglaOiv9fdioU,2017-01-27,ec
5349,150,The Scientist,Coldplay,1889,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle,2017-01-27,ec
5493,94,Hymn For The Weekend - Seeb Remix,Coldplay,2694,https://open.spotify.com/track/1OAiWI2oPmglaOiv9fdioU,2017-01-28,ec
5563,164,The Scientist,Coldplay,1765,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle,2017-01-28,ec
5597,198,Adventure Of A Lifetime,Coldplay,1464,https://open.spotify.com/track/69uxyAqqPIsUyTO8txoP2M,2017-01-28,ec
5700,101,Hymn For The Weekend - Seeb Remix,Coldplay,2328,https://open.spotify.com/track/1OAiWI2oPmglaOiv9fdioU,2017-01-29,ec
5745,146,The Scientist,Coldplay,1729,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle,2017-01-29,ec
5897,98,Hymn For The Weekend - Seeb Remix,Coldplay,2318,https://open.spotify.com/track/1OAiWI2oPmglaOiv9fdioU,2017-01-30,ec
5916,117,The Scientist,Coldplay,2054,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle,2017-01-30,ec
6091,92,Hymn For The Weekend - Seeb Remix,Coldplay,2583,https://open.spotify.com/track/1OAiWI2oPmglaOiv9fdioU,2017-01-31,ec
6128,129,The Scientist,Coldplay,1924,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle,2017-01-31,ec
6288,89,Hymn For The Weekend - Seeb Remix,Coldplay,2623,https://open.spotify.com/track/1OAiWI2oPmglaOiv9fdioU,2017-02-01,ec
6323,124,The Scientist,Coldplay,1975,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle,2017-02-01,ec
6489,90,Hymn For The Weekend - Seeb Remix,Coldplay,2667,https://open.spotify.com/track/1OAiWI2oPmglaOiv9fdioU,2017-02-02,ec
6528,129,The Scientist,Coldplay,1990,https://open.spotify.com/track/75JFxkI2RXiU7L9VXzMkle,2017-02-02,ec
