,Date,Streams,Day of week
0,2017-01-01,9240,Sunday
1,2017-01-02,8009,Monday
2,2017-01-03,12182,Tuesday
3,2017-01-04,13191,Wednesday
4,2017-01-05,13568,Thursday
5,2017-01-06,12906,Friday
6,2017-01-07,11224,Saturday
7,2017-01-08,7997,Sunday
8,2017-01-09,13127,Monday
9,2017-01-10,13818,Tuesday
10,2017-01-11,14153,Wednesday
11,2017-01-12,13808,Thursday
12,2017-01-13,12818,Friday
13,2017-01-14,8656,Saturday
14,2017-01-15,8479,Sunday
15,2017-01-16,13044,Monday
16,2017-01-17,15675,Tuesday
17,2017-01-18,13998,Wednesday
18,2017-01-19,13716,Thursday
19,2017-01-20,12762,Friday
20,2017-01-21,11393,Saturday
21,2017-01-22,8274,Sunday
22,2017-01-23,9219,Monday
23,2017-01-24,9371,Tuesday
24,2017-01-25,13043,Wednesday
25,2017-01-26,13208,Thursday
26,2017-01-27,11155,Friday
27,2017-01-28,9194,Saturday
28,2017-01-29,6968,Sunday
29,2017-01-30,8027,Monday
30,2017-01-31,8915,Tuesday
31,2017-02-01,12429,Wednesday
32,2017-02-02,12719,Thursday
33,2017-02-03,8677,Friday
34,2017-02-04,7718,Saturday
35,2017-02-05,7631,Sunday
36,2017-02-06,8633,Monday
37,2017-02-07,13222,Tuesday
38,2017-02-08,12956,Wednesday
39,2017-02-09,13164,Thursday
40,2017-02-10,12048,Friday
41,2017-02-11,8018,Saturday
42,2017-02-12,7980,Sunday
43,2017-02-13,11499,Monday
44,2017-02-14,5521,Tuesday
45,2017-02-15,8874,Wednesday
46,2017-02-16,12912,Thursday
47,2017-02-17,8922,Friday
48,2017-02-18,8350,Saturday
49,2017-02-19,8199,Sunday
50,2017-02-20,8872,Monday
51,2017-02-21,13347,Tuesday
52,2017-02-22,13362,Wednesday
53,2017-02-23,13861,Thursday
54,2017-02-24,12789,Friday
55,2017-02-25,8942,Saturday
56,2017-02-26,11912,Sunday
57,2017-02-27,13012,Monday
58,2017-02-28,14006,Tuesday
59,2017-03-01,13897,Wednesday
60,2017-03-02,14472,Thursday
61,2017-03-03,9864,Friday
62,2017-03-04,8782,Saturday
63,2017-03-05,8781,Sunday
64,2017-03-06,13642,Monday
65,2017-03-07,14294,Tuesday
66,2017-03-08,10123,Wednesday
67,2017-03-09,14501,Thursday
68,2017-03-10,9479,Friday
69,2017-03-11,12094,Saturday
70,2017-03-12,8495,Sunday
71,2017-03-13,14810,Monday
72,2017-03-14,15384,Tuesday
73,2017-03-15,15102,Wednesday
74,2017-03-16,14906,Thursday
75,2017-03-17,13455,Friday
76,2017-03-18,12235,Saturday
77,2017-03-19,8879,Sunday
78,2017-03-20,10186,Monday
79,2017-03-21,15095,Tuesday
80,2017-03-22,15546,Wednesday
81,2017-03-23,17592,Thursday
82,2017-03-24,14172,Friday
83,2017-03-25,13218,Saturday
84,2017-03-26,13116,Sunday
85,2017-03-27,15804,Monday
86,2017-03-28,16916,Tuesday
87,2017-03-29,19375,Wednesday
88,2017-03-30,23767,Thursday
89,2017-03-31,29018,Friday
90,2017-04-01,39103,Saturday
91,2017-04-02,55440,Sunday
92,2017-04-03,69347,Monday
93,2017-04-04,103125,Tuesday
94,2017-04-05,113912,Wednesday
95,2017-04-06,93472,Thursday
96,2017-04-07,80317,Friday
97,2017-04-08,66626,Saturday
98,2017-04-09,58129,Sunday
99,2017-04-10,64064,Monday
100,2017-04-11,67883,Tuesday
101,2017-04-12,74143,Wednesday
102,2017-04-13,67652,Thursday
103,2017-04-14,54184,Friday
104,2017-04-15,49428,Saturday
105,2017-04-16,45937,Sunday
106,2017-04-17,52351,Monday
107,2017-04-18,50144,Tuesday
108,2017-04-19,46821,Wednesday
109,2017-04-20,47866,Thursday
110,2017-04-21,43398,Friday
111,2017-04-22,38518,Saturday
112,2017-04-23,35744,Sunday
113,2017-04-24,39860,Monday
114,2017-04-25,22870,Tuesday
115,2017-04-26,26175,Wednesday
116,2017-04-27,23646,Thursday
117,2017-04-28,22214,Friday
118,2017-04-29,19909,Saturday
119,2017-04-30,18758,Sunday
120,2017-05-01,19695,Monday
121,2017-05-02,21824,Tuesday
122,2017-05-03,20815,Wednesday
123,2017-05-04,20022,Thursday
124,2017-05-05,18839,Friday
125,2017-05-06,17026,Saturday
126,2017-05-07,16976,Sunday
127,2017-05-08,19048,Monday
128,2017-05-09,19195,Tuesday
129,2017-05-10,18150,Wednesday
130,2017-05-11,17865,Thursday
131,2017-05-12,17806,Friday
132,2017-05-13,13735,Saturday
133,2017-05-14,15939,Sunday
134,2017-05-15,15628,Monday
135,2017-05-16,18107,Tuesday
136,2017-05-17,15839,Wednesday
137,2017-05-18,15409,Thursday
138,2017-05-19,14733,Friday
139,2017-05-20,13296,Saturday
140,2017-05-21,13156,Sunday
141,2017-05-22,15168,Monday
142,2017-05-23,15431,Tuesday
143,2017-05-24,15394,Wednesday
144,2017-05-25,14741,Thursday
145,2017-05-26,14650,Friday
146,2017-05-27,12678,Saturday
147,2017-05-28,12857,Sunday
148,2017-05-29,15304,Monday
149,2017-06-01,14395,Thursday
150,2017-06-03,13013,Saturday
151,2017-06-04,43777,Sunday
152,2017-06-05,142615,Monday
153,2017-06-06,118554,Tuesday
154,2017-06-07,101648,Wednesday
155,2017-06-08,93914,Thursday
156,2017-06-09,66206,Friday
157,2017-06-10,60148,Saturday
158,2017-06-11,73737,Sunday
159,2017-06-12,78806,Monday
160,2017-06-13,62869,Tuesday
161,2017-06-14,23463,Wednesday
162,2017-06-15,23610,Thursday
163,2017-06-16,21779,Friday
164,2017-06-17,18441,Saturday
165,2017-06-18,34933,Sunday
166,2017-06-19,22057,Monday
167,2017-06-20,40205,Tuesday
168,2017-06-21,41640,Wednesday
169,2017-06-22,61455,Thursday
170,2017-06-23,21920,Friday
171,2017-06-24,35254,Saturday
172,2017-06-25,54955,Sunday
173,2017-06-26,66022,Monday
174,2017-06-27,61458,Tuesday
175,2017-06-28,50894,Wednesday
176,2017-06-29,44196,Thursday
177,2017-06-30,40849,Friday
178,2017-07-01,41724,Saturday
179,2017-07-02,37235,Sunday
180,2017-07-03,40749,Monday
181,2017-07-04,62646,Tuesday
182,2017-07-05,59744,Wednesday
183,2017-07-06,56369,Thursday
184,2017-07-07,63359,Friday
185,2017-07-08,45552,Saturday
186,2017-07-09,43538,Sunday
187,2017-07-10,59241,Monday
188,2017-07-11,57390,Tuesday
189,2017-07-12,56458,Wednesday
190,2017-07-13,38888,Thursday
191,2017-07-14,61556,Friday
192,2017-07-15,23410,Saturday
193,2017-07-16,37233,Sunday
194,2017-07-17,51316,Monday
195,2017-07-18,50788,Tuesday
196,2017-07-19,49602,Wednesday
197,2017-07-20,20828,Thursday
198,2017-07-21,11817,Friday
199,2017-07-22,15430,Saturday
200,2017-07-23,14298,Sunday
201,2017-07-24,15648,Monday
202,2017-07-25,21010,Tuesday
203,2017-07-26,15464,Wednesday
204,2017-07-27,15548,Thursday
205,2017-07-28,11737,Friday
206,2017-07-29,14701,Saturday
207,2017-07-30,13946,Sunday
208,2017-07-31,15328,Monday
209,2017-08-01,19597,Tuesday
210,2017-08-02,20024,Wednesday
211,2017-08-03,19895,Thursday
212,2017-08-04,15273,Friday
213,2017-08-05,14247,Saturday
214,2017-08-06,27142,Sunday
215,2017-08-07,15038,Monday
